,province,DailyTotals,date,DailyRecovered,TotalDeaths,DailyDeaths,TotalActive,DailyVaccinated,Aboriginal Day,Boxing Day,Canada Day,Christmas,Civic Holiday,Easter,Family Day,Fathers Day,Halloween,Heritage Day,Islander Day,Labours Day,Louis Riel Day,Mothers Day,New Year's day,Remembrance Day,St. Jean Baptiste Day,St. Patricks Day,Thanksgiving,Valentine's day,Victoria Day,Lockdown_yesorno
92,Alberta,247,2020-04-26,78,73,0,2858,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
93,Alberta,208,2020-04-27,115,75,2,2957,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
94,Alberta,154,2020-04-28,136,80,5,2970,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
95,Alberta,315,2020-04-29,153,87,7,3125,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
96,Alberta,190,2020-04-30,208,89,2,3105,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
97,Alberta,218,2020-05-01,198,92,3,3122,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
98,Alberta,97,2020-05-02,175,94,2,3042,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
99,Alberta,96,2020-05-03,179,95,1,2958,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
100,Alberta,70,2020-05-04,229,104,9,2790,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
101,Alberta,57,2020-05-05,277,106,2,2568,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
102,Alberta,70,2020-05-06,333,112,6,2299,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
103,Alberta,54,2020-05-07,257,114,2,2094,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
104,Alberta,81,2020-05-08,211,115,1,1963,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
105,Alberta,59,2020-05-09,184,116,1,1837,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
106,Alberta,96,2020-05-10,185,117,1,1747,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
107,Alberta,47,2020-05-11,270,117,0,1524,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
108,Alberta,45,2020-05-12,207,118,1,1361,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
109,Alberta,62,2020-05-13,210,120,2,1211,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
110,Alberta,50,2020-05-14,129,121,1,1131,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
111,Alberta,58,2020-05-15,112,125,4,1073,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
112,Alberta,72,2020-05-16,60,126,1,1084,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
113,Alberta,77,2020-05-17,76,127,1,1084,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
114,Alberta,19,2020-05-18,66,128,1,1036,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
115,Alberta,33,2020-05-19,335,128,0,734,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
116,Alberta,19,2020-05-20,-217,128,0,970,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
117,Alberta,33,2020-05-21,73,132,4,926,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
118,Alberta,32,2020-05-22,91,134,2,865,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
119,Alberta,18,2020-05-23,68,135,1,814,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
120,Alberta,42,2020-05-24,55,135,0,801,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
121,Alberta,19,2020-05-25,55,138,3,762,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
122,Alberta,22,2020-05-26,69,139,1,714,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
123,Alberta,25,2020-05-27,58,141,2,679,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
124,Alberta,29,2020-05-28,54,143,2,652,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
125,Alberta,24,2020-05-29,60,143,0,616,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
126,Alberta,13,2020-05-30,25,143,0,604,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
127,Alberta,18,2020-05-31,38,143,0,584,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
128,Alberta,34,2020-06-01,218,143,0,400,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
129,Alberta,13,2020-06-02,36,143,0,377,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
130,Alberta,19,2020-06-03,50,145,2,344,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
131,Alberta,15,2020-06-04,24,146,1,334,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
132,Alberta,7,2020-06-05,13,146,0,328,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
133,Alberta,40,2020-06-06,53,146,0,315,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
134,Alberta,0,2020-06-07,0,146,0,315,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
135,Alberta,64,2020-06-08,21,149,3,355,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
136,Alberta,27,2020-06-09,24,151,2,356,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
137,Alberta,47,2020-06-10,32,151,0,371,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
138,Alberta,40,2020-06-11,34,149,-2,379,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
139,Alberta,30,2020-06-12,23,149,0,386,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
140,Alberta,37,2020-06-13,19,150,1,403,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
141,Alberta,50,2020-06-14,31,150,0,422,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
142,Alberta,20,2020-06-15,1,151,1,440,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
143,Alberta,29,2020-06-16,20,151,0,449,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
144,Alberta,48,2020-06-17,11,151,0,486,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
145,Alberta,49,2020-06-18,45,152,1,489,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
146,Alberta,46,2020-06-19,23,152,0,512,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
147,Alberta,48,2020-06-20,35,152,0,525,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
148,Alberta,31,2020-06-21,22,152,0,534,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
149,Alberta,32,2020-06-22,23,153,1,542,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
150,Alberta,45,2020-06-23,55,153,0,532,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
